,Entry_date,DeltaT,Center,Size
147,2014-12-09 18:32:27,3259.0,"(30.25035720464628, -97.7496661844718)",4362
148,2014-12-10 01:56:20,2966.0,"(30.270213375227492, -97.75108087431627)",4575
149,2014-12-10 02:45:47,2292.0,"(30.270239328467163, -97.7509414781014)",2740
150,2014-12-10 03:49:35,2113.0,"(30.257406278579328, -97.75025418155957)",3470
151,2014-12-10 04:24:48,31313.0,"(30.25725341307043, -97.75027650737668)",56539
152,2014-12-10 13:34:32,1963.0,"(30.26866432248303, -97.74432398940212)",2642
153,2014-12-10 14:13:48,1848.0,"(30.272390312781894, -97.75360789526077)",3698
154,2014-12-10 14:44:37,3619.0,"(30.272406755490177, -97.75355895139408)",2702
155,2014-12-10 16:18:53,11911.0,"(30.266968008300225, -97.73898390139368)",8353
156,2014-12-10 19:37:25,10262.0,"(30.265246703984804, -97.73796574898012)",14157
157,2014-12-10 23:37:18,3429.0,"(30.257463026713886, -97.75014272399281)",6838
158,2014-12-11 04:25:43,22163.0,"(30.25725432129878, -97.75027691814536)",43716
159,2014-12-11 10:35:07,13133.0,"(30.25733093373219, -97.75031229566926)",8018
160,2014-12-11 14:47:08,3746.0,"(30.272261445155628, -97.75344880971781)",7494
161,2014-12-11 18:25:46,2186.0,"(30.265829247861394, -97.73590432843295)",4013
162,2014-12-12 12:32:22,5981.0,"(30.257285243818163, -97.75032472387427)",7738
163,2014-12-12 14:48:28,3564.0,"(30.27222806387423, -97.75340158278269)",7113
164,2014-12-12 16:13:12,2224.0,"(30.257949668153515, -97.7500940676438)",3139
165,2014-12-12 17:36:12,2876.0,"(30.285435616108508, -97.74195624863218)",3046
166,2014-12-12 19:03:38,5352.0,"(30.272024942714822, -97.7538938925168)",10706
167,2014-12-12 21:32:11,2275.0,"(30.247892278729978, -97.75063097855823)",4493
168,2014-12-12 22:10:07,3944.0,"(30.24632008805469, -97.75106900983762)",5489
169,2014-12-12 23:58:51,2281.0,"(30.268482804232686, -97.74676426455036)",630
170,2014-12-13 00:42:13,8255.0,"(30.267467449742878, -97.74231769050971)",713
171,2014-12-13 03:50:08,36752.0,"(30.257274478114624, -97.75028302833202)",61198
