,Entry_date,DeltaT,Center,Size
51,2014-12-02 11:41:27,18779.0,"(45.78625377393816, 4.87901521829378)",4978
52,2014-12-02 18:26:48,44425.0,"(45.77161355936404, 4.870768797814219)",1342
53,2014-12-03 09:55:23,28044.0,"(45.784950872011265, 4.877506634317862)",1185
54,2014-12-03 17:58:32,33222.0,"(45.770214851361665, 4.8698089965910105)",28649
55,2014-12-04 07:30:27,22478.0,"(45.78655250087754, 4.879799449810542)",26606
56,2014-12-04 19:58:10,8619.0,"(45.770333573481835, 4.870258370539512)",3942
57,2014-12-04 22:21:50,32900.0,"(45.77017013873337, 4.869756749148562)",50011
58,2014-12-05 09:45:51,10344.0,"(45.786163470324304, 4.879321767437904)",11412
59,2014-12-06 20:20:11,19817.0,"(47.876651666666696, 3.86840166666667)",2
60,2014-12-07 04:55:42,24309.0,"(30.257289861890893, -97.75029218801235)",47221
61,2014-12-07 11:40:52,9240.0,"(30.257281262452942, -97.75025055090919)",14588
62,2014-12-07 17:39:48,12688.0,"(30.24883715023874, -97.7502036807804)",18708
63,2014-12-08 01:44:40,7612.0,"(30.264709999275286, -97.76371772869736)",11522
64,2014-12-08 04:22:28,35550.0,"(30.2573872459403, -97.75024097993841)",70284
65,2014-12-08 19:18:41,7692.0,"(30.2693236303092, -97.7437172971945)",3053
66,2014-12-08 23:28:12,14122.0,"(30.267462650450355, -97.74088949009125)",6475
67,2014-12-09 03:31:25,38680.0,"(30.25734653878542, -97.75024721150207)",76814
68,2014-12-09 16:06:32,12442.0,"(30.250551214736856, -97.74953121656384)",19177
69,2014-12-09 20:26:25,19641.0,"(30.26749625657903, -97.74165843201793)",1520
70,2014-12-10 03:47:10,34203.0,"(30.257373180019936, -97.75023768319276)",61563
71,2014-12-10 14:10:22,7319.0,"(30.271781792689705, -97.7523998416232)",8345
72,2014-12-10 16:15:45,12102.0,"(30.2669869246325, -97.73910196660998)",8735
73,2014-12-10 19:37:28,10493.0,"(30.26532161853462, -97.73807867845832)",14613
74,2014-12-11 00:57:30,11809.0,"(30.266574518716677, -97.74401464349351)",1870
75,2014-12-11 04:22:07,22377.0,"(30.25728259295119, -97.75026776149934)",44144
76,2014-12-11 10:35:05,13368.0,"(30.25748103715033, -97.75026152489885)",8488
77,2014-12-11 16:14:40,12507.0,"(30.265910461304447, -97.73634310085195)",8653
78,2014-12-13 00:38:14,8494.0,"(30.26787403162608, -97.74325844668464)",1191
